mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
396	391	0	0	2/4	4	1		V43		Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
396	391	1/4	1/4	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
398	393	0	0	2/4	4	1		V2/IV		Bb	I		V2/IV	V		2		IV				Mm7	0	0	-2, 0, 4, 1		0	-2
399	394	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
399	394	1/4	1/4	2/4	4	1		IV6		Bb	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
400	395	1/4	1/4	2/4	4	1		V65/V		Bb	I		V65/V	V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
401	396	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
404	399	1/4	1/4	2/4	4	1		I\\		Bb	I		I	I							\\	M	0	0	0, 4, 1		0	0
405	400	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
407	402	1/4	1/4	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
408	403	0	0	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
408	403	1/4	1/4	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
409	404	0	0	2/4	4	1		ii		Bb	I		ii	ii								m	0	0	2, -1, 3		2	2
409	404	1/4	1/4	2/4	4	1		V6		Bb	I		V6	V		6						M	0	0	5, 2, 1		1	5
410	405	0	0	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
410	405	1/4	1/4	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
411	406	0	0	2/4	4	1		V2		Bb	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
411	406	1/4	1/4	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
412	407	0	0	2/4	4	1		vi6		Bb	I		vi6	vi		6						m	0	0	0, 4, 3		3	0
412	407	1/4	1/4	2/4	4	1		IV6		Bb	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
413	408	0	0	2/4	4	1		ii6		Bb	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
413	408	1/4	1/4	2/4	4	1		viio6		Bb	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
414	409	0	0	2/4	4	1		V6		Bb	I		V6	V		6						M	0	0	5, 2, 1		1	5
414	409	1/4	1/4	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
415	410	0	0	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
417	412	0	0	2/4	4	1		viio43		Bb	I		viio43	vii	o	43						o7	0	0	-1, -4, 5, 2		5	-1
419	414	0	0	2/4	4	1		V[I		Bb	I	V	I	I								M	0	0	0, 4, 1		0	0
420	415	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
422	417	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
424	419	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
426	421	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
427	422	0	0	2/4	4	1		#viio7/ii		Bb	I		#viio7/ii	#vii	o	7		ii				o7	0	0	7, 4, 1, -2		7	7
428	423	0	0	2/4	4	1		viio7/V		Bb	I		viio7/V	vii	o	7		V				o7	0	0	6, 3, 0, -3		6	6
430	425	0	0	2/4	4	1		viio7		Bb	I		viio7	vii	o	7						o7	0	0	5, 2, -1, -4		5	5
432	427	0	0	2/4	4	1		#viio7/ii		Bb	I		#viio7/ii	#vii	o	7		ii				o7	0	0	7, 4, 1, -2		7	7
433	428	0	0	2/4	4	1		viio7/V		Bb	I		viio7/V	vii	o	7		V				o7	0	0	6, 3, 0, -3		6	6
434	429	0	0	2/4	4	1		viio7		Bb	I		viio7	vii	o	7						o7	0	0	5, 2, -1, -4		5	5
435	430	0	0	2/4	4	1		#viio7/ii		Bb	I		#viio7/ii	#vii	o	7		ii				o7	0	0	7, 4, 1, -2		7	7
436	431	0	0	2/4	4	1		IV]		Bb	I		IV	IV					]			M	0	0	-1, 3, 0		-1	-1
436	431	1/4	1/4	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
438	433	1/4	1/4	2/4	4	1		V65/IV		Bb	I		V65/IV	V		65		IV				Mm7	0	0	4, 1, -2, 0		0	4
440	435	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
440	435	1/4	1/4	2/4	4	1		IV6		Bb	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
440	435	3/8	3/8	2/4	4	1		iv6		Bb	I		iv6	iv		6						m	0	0	-4, 0, -1		-1	-4
441	436	0	0	2/4	4	1		V(64)		Bb	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
441	436	1/4	1/4	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
442	437	1/4	1/4	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
444	439	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
445	440	0	0	2/4	4	1		V+6/vi		Bb	I		V+6/vi	V	+	6		vi				+	0	0	8, 12, 4		4	8
446	441	0	0	2/4	4	1		V7/ii		Bb	I		V7/ii	V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
447	442	0	0	2/4	4	1		ii		Bb	I		ii	ii								m	0	0	2, -1, 3		2	2
448	443	0	0	2/4	4	1		V/ii		Bb	I		V/ii	V				ii				M	0	0	3, 7, 4		3	3
449	444	0	0	2/4	4	1		ii		Bb	I		ii	ii								m	0	0	2, -1, 3		2	2
450	445	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
451	446	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
452	447	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
452	447	1/4	1/4	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
453	448	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
454	449	0	0	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
454	449	1/8	1/8	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
454	449	1/4	1/4	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
455	450	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
455	450	1/4	1/4	2/4	4	1		viio/IV		Bb	I		viio/IV	vii	o			IV				o	0	0	4, 1, -2		4	4
455	450	3/8	3/8	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
456	451	0	0	2/4	4	1		IV.IV		Bb	IV		IV	IV								M	0	0	-1, 3, 0		-1	-1
456	451	1/4	1/4	2/4	4	1		V		Bb	IV		V	V								M	0	0	1, 5, 2		1	1
457	452	0	0	2/4	4	1		I6		Bb	IV		I6	I		6						M	0	0	4, 1, 0		0	4
457	452	1/4	1/4	2/4	4	1		V6		Bb	IV		V6	V		6						M	0	0	5, 2, 1		1	5
457	452	3/8	3/8	2/4	4	1		I		Bb	IV		I	I								M	0	0	0, 4, 1		0	0
458	453	0	0	2/4	4	1		vi		Bb	IV		vi	vi								m	0	0	3, 0, 4		3	3
458	453	1/8	1/8	2/4	4	1		V65/V		Bb	IV		V65/V	V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
458	453	1/4	1/4	2/4	4	1		V		Bb	IV		V	V								M	0	0	1, 5, 2		1	1
459	454	0	0	2/4	4	1		vi6(2)		Bb	IV		vi6(2)	vi		6	2					m	0	0	0, 4, 5		3	0
459	454	1/8	1/8	2/4	4	1		vi6		Bb	IV		vi6	vi		6						m	0	0	0, 4, 3		3	0
459	454	1/4	1/4	2/4	4	1		V2/vi		Bb	IV		V2/vi	V		2		vi				Mm7	0	0	2, 4, 8, 5		4	2
460	455	0	0	2/4	4	1		vi6	I.ii6	Bb	IV		vi6	vi		6						m	0	0	0, 4, 3		3	0
460	455	1/4	1/4	2/4	4	1		V65/V		Bb	IV		V65/V	V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
461	456	0	0	2/4	4	1		V7		Bb	IV		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
462	457	0	0	2/4	4	1		V65		Bb	IV		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
462	457	1/8	1/8	2/4	4	1		I\\		Bb	IV		I	I							\\	M	0	0	0, 4, 1		0	0
463	458	0	0	2/4	4	1		V2		Bb	IV		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
464	459	1/8	1/8	2/4	4	1		I6		Bb	IV		I6	I		6						M	0	0	4, 1, 0		0	4
465	460	0	0	2/4	4	1		V2		Bb	IV		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
466	461	0	0	2/4	4	1		V43		Bb	IV		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
466	461	1/8	1/8	2/4	4	1		I		Bb	IV		I	I								M	0	0	0, 4, 1		0	0
466	461	1/4	1/4	2/4	4	1		V2/IV		Bb	IV		V2/IV	V		2		IV				Mm7	0	0	-2, 0, 4, 1		0	-2
466	461	3/8	3/8	2/4	4	1		IV6		Bb	IV		IV6	IV		6						M	0	0	3, 0, -1		-1	3
467	462	0	0	2/4	4	1		iv6		Bb	IV		iv6	iv		6						m	0	0	-4, 0, -1		-1	-4
467	462	1/8	1/8	2/4	4	1		V(64)		Bb	IV		V(64)	V			64					M	0	0	1, 0, 4		1	1
467	462	1/4	1/4	2/4	4	1		V7		Bb	IV		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
469	464	0	0	2/4	4	1		V65		Bb	IV		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
469	464	1/8	1/8	2/4	4	1		I\\		Bb	IV		I	I							\\	M	0	0	0, 4, 1		0	0
470	465	0	0	2/4	4	1		V7		Bb	IV		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
471	466	0	0	2/4	4	1		V65		Bb	IV		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
471	466	1/8	1/8	2/4	4	1		I		Bb	IV		I	I								M	0	0	0, 4, 1		0	0
472	467	0	0	2/4	4	1		V7		Bb	IV		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
473	468	0	0	2/4	4	1		I		Bb	IV		I	I								M	0	0	0, 4, 1		0	0
473	468	1/4	1/4	2/4	4	1		V7		Bb	IV		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
474	469	1/4	1/4	2/4	4	1		I		Bb	IV		I	I								M	0	0	0, 4, 1		0	0
475	470	0	0	2/4	4	1		vi	IV.I	Bb	IV		vi	vi								m	0	0	3, 0, 4		3	3
475	470	1/4	1/4	2/4	4	1		IV		Bb	IV		IV	IV								M	0	0	-1, 3, 0		-1	-1
476	471	0	0	2/4	4	1		ii		Bb	IV		ii	ii								m	0	0	2, -1, 3		2	2
476	471	1/4	1/4	2/4	4	1		I		Bb	IV		I	I								M	0	0	0, 4, 1		0	0
477	472	1/4	1/4	2/4	4	1		ii		Bb	IV		ii	ii								m	0	0	2, -1, 3		2	2
478	473	0	0	2/4	4	1		V		Bb	IV		V	V								M	0	0	1, 5, 2		1	1
478	473	1/4	1/4	2/4	4	1		I		Bb	IV		I	I								M	0	0	0, 4, 1		0	0
479	474	1/4	1/4	2/4	4	1		V7/ii		Bb	IV		V7/ii	V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
480	475	1/4	1/4	2/4	4	1		V		Bb	IV		V	V								M	0	0	1, 5, 2		1	1
481	476	1/4	1/4	2/4	4	1		I.V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
482	477	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
482	477	1/4	1/4	2/4	4	1		ii		Bb	I		ii	ii								m	0	0	2, -1, 3		2	2
483	478	1/8	1/8	2/4	4	1		V6		Bb	I		V6	V		6						M	0	0	5, 2, 1		1	5
483	478	1/4	1/4	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
484	479	0	0	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
484	479	1/4	1/4	2/4	4	1		IV.vi		Bb	IV		vi	vi								m	0	0	3, 0, 4		3	3
485	480	0	0	2/4	4	1		ii		Bb	IV		ii	ii								m	0	0	2, -1, 3		2	2
485	480	1/4	1/4	2/4	4	1		V		Bb	IV		V	V								M	0	0	1, 5, 2		1	1
486	481	0	0	2/4	4	1		I		Bb	IV		I	I								M	0	0	0, 4, 1		0	0
486	481	1/4	1/4	2/4	4	1		IV		Bb	IV		IV	IV								M	0	0	-1, 3, 0		-1	-1
487	482	0	0	2/4	4	1		V6		Bb	IV		V6	V		6						M	0	0	5, 2, 1		1	5
487	482	1/4	1/4	2/4	4	1		I		Bb	IV		I	I								M	0	0	0, 4, 1		0	0
488	483	1/4	1/4	2/4	4	1		V65/ii		Bb	IV		V65/ii	V		65		ii				Mm7	0	0	7, 4, 1, 3		3	7
489	484	1/8	1/8	2/4	4	1		V		Bb	IV		V	V								M	0	0	1, 5, 2		1	1
489	484	1/4	1/4	2/4	4	1		V64		Bb	IV		V64	V		64						M	0	0	2, 1, 5		1	2
490	485	1/4	1/4	2/4	4	1		I.V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
491	486	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
491	486	1/4	1/4	2/4	4	1		V43		Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
492	487	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
492	487	1/4	1/4	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
493	488	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
493	488	1/4	1/4	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
494	489	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
494	489	1/4	1/4	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
495	490	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
495	490	1/4	1/4	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
496	491	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
496	491	1/4	1/4	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
497	492	1/4	1/4	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
498	493	0	0	2/4	4	1		I\\		Bb	I		I	I							\\	M	0	0	0, 4, 1		0	0
